"","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6"
"11761768_at",3.166846,3.306494,3.436039,3.466687,3.514156,3.404147
"11761769_x_at",4.487885,4.354774,3.912285,4.409909,4.399819,4.439581
"11761770_a_at",5.601267,5.417975,5.908518,5.807111,6.077294,5.889997
"11761771_a_at",5.128452,5.087166,5.351757,5.246023,5.240584,5.376216
"11761772_at",6.737994,6.723462,6.780023,6.784225,6.592072,6.568675
"11761773_x_at",7.985709,7.998376,8.127464,8.025365,7.781086,7.852286
"11761774_at",3.383681,3.019064,3.13763,3.323585,3.464952,3.218223
"11761775_s_at",4.904198,5.44486,4.86671,4.660105,4.217299,5.033344
"11761776_a_at",2.831048,2.544254,2.491679,2.585219,2.574771,2.667475
"11761777_x_at",6.898154,6.737121,6.763122,6.836511,6.705722,6.797834
"11761778_a_at",4.19529,4.158687,4.216706,4.135766,4.117548,4.297531
"11761779_a_at",4.725297,4.316896,4.944412,4.789063,4.869053,4.550547
"11761780_x_at",5.788348,5.632682,5.636203,5.88827,5.892358,5.650156
"11761781_a_at",6.704493,6.886347,6.271673,6.556873,6.541057,6.712979
"11761782_at",4.186312,3.991285,4.309832,3.984885,4.066865,4.035764
"11761783_at",5.628654,5.637467,5.642174,5.543759,5.461693,5.490102
"11761784_at",4.386505,4.158687,4.271454,4.287818,4.392805,4.282856
"11761785_at",5.100723,4.811127,5.03876,5.282732,5.104987,5.088195
"11761786_at",4.599174,4.206731,4.50362,4.836037,4.485957,4.789207
"11761787_x_at",4.527061,4.186539,4.354339,4.327121,4.305836,4.439581
"11761788_at",3.748415,3.714604,3.479426,3.75189,3.575607,3.46582
"11761789_at",4.63913,4.751482,4.620078,4.7926,5.070079,4.501639
"11761790_x_at",3.526053,3.441311,3.567043,3.59638,3.574683,3.496367
"11761791_x_at",3.446397,3.620258,3.57138,3.622511,3.759457,3.762783
"11761792_a_at",5.271988,5.650139,5.159493,5.638083,5.09697,5.416019
"11761793_a_at",2.925848,2.93043,2.76498,2.745652,2.883612,2.756057
"11761794_x_at",3.560324,3.536373,3.474174,3.635254,3.627047,3.499492
"11761795_a_at",4.369889,3.76661,3.247639,3.352196,3.291357,3.299817
"11761796_at",3.544897,3.759463,3.485406,3.246935,3.542437,3.564552
"11761797_at",5.13658,5.078236,5.423608,5.410668,5.226873,5.413949
"11761798_a_at",4.660768,4.455373,4.348936,4.686041,4.704858,4.936727
"11761799_x_at",4.463416,4.650773,4.368428,4.846117,4.963049,4.715362
"11761800_a_at",4.089853,3.671894,3.826136,3.89189,3.859447,3.818102
"11761801_x_at",4.006011,3.746944,3.704563,4.039868,4.11413,3.649719
"11761802_a_at",4.550929,4.068021,4.515191,4.036441,4.362162,4.595777
"11761803_at",3.765049,3.777026,3.859415,3.918421,3.788105,3.875518
"11761804_at",2.935611,2.76498,2.979287,2.809716,2.838579,2.638276
"11761805_x_at",4.01294,4.06065,3.999413,4.009929,4.133933,3.933933
