"","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6"
"11716098_a_at",9.148193,9.281492,9.019691,9.235769,9.079197,9.047375
"11716099_s_at",8.97969,9.20928,8.736831,9.192013,9.083153,9.077476
"11716100_a_at",9.873869,9.842817,9.837903,9.845253,9.876755,9.724626
"11716101_s_at",10.9973,10.94304,11.01455,10.95646,10.99711,10.94376
"11716102_x_at",9.892682,9.861376,9.845732,9.724907,9.908941,9.703064
"11716103_a_at",11.28573,11.04654,10.90014,10.98953,11.39105,10.17984
"11716104_a_at",8.735422,8.841926,8.827976,8.312984,8.836757,9.340969
"11716105_a_at",9.888885,9.74213,9.929052,9.624598,9.743305,10.07551
"11716106_x_at",9.036648,9.107773,9.209749,9.11943,9.171608,8.982218
"11716107_a_at",8.736517,8.841066,8.740891,8.916939,8.859345,8.797609
"11716108_a_at",9.010259,8.90979,8.805968,9.000992,8.626265,8.669231
"11716109_a_at",2.997058,3.109908,3.241812,3.163939,3.480645,3.289753
"11716110_s_at",4.26341,3.985187,4.107687,4.108111,4.133428,4.147232
"11716111_x_at",2.964659,3.19734,3.149795,3.235257,3.238939,3.221096
"11716112_at",3.670568,3.773664,4.120455,3.935974,4.272676,3.868214
"11716113_a_at",7.118023,8.352304,8.388241,8.491093,8.129028,8.135744
"11716114_x_at",8.015897,7.108665,7.21851,7.000305,6.662148,6.510363
"11716115_s_at",7.999922,6.298969,5.967957,5.464154,5.636995,5.747764
"11716116_at",10.3996,10.4905,10.30408,10.62055,10.66902,10.42422
"11716117_at",8.571174,7.598649,8.097274,8.191454,8.666305,7.938474
"11716118_a_at",12.12758,11.30896,11.6118,11.46826,11.91301,11.17227
"11716119_x_at",10.65665,9.929558,10.21863,10.17796,10.57512,9.833643
"11716120_a_at",7.78743,7.540328,7.447982,7.60322,7.628546,6.999334
"11716121_s_at",9.186274,9.191647,9.585989,9.142159,9.276846,9.124029
"11716122_s_at",4.72421,5.185205,4.911054,5.011505,4.532848,4.844993
"11716123_a_at",6.480447,6.165202,6.919694,6.492735,6.352161,6.23327
"11716124_a_at",7.479335,7.322536,7.875477,7.473645,7.444442,7.329952
"11716125_a_at",9.170633,8.090188,9.314661,8.852654,8.846737,8.812604
"11716126_x_at",9.446974,8.409067,9.657862,9.072433,9.188965,9.021944
"11716127_a_at",7.925252,7.811248,7.81703,7.433334,7.403933,7.870997
"11716128_at",8.813778,9.834756,8.671255,9.218752,8.767903,10.18005
"11716129_at",9.328863,10.01999,9.311962,9.577676,9.222001,10.43594
"11716130_a_at",3.366994,3.771346,3.708661,3.491925,3.742089,4.002782
"11716131_s_at",5.257533,6.270842,6.077278,6.077264,6.241165,6.353381
"11716132_a_at",7.138789,8.108032,8.561599,8.294921,8.575175,9.047464
"11716133_a_at",6.774442,6.686375,6.537523,6.764668,6.715205,6.681692
"11716134_a_at",8.205509,8.402441,8.312978,8.36692,8.258184,8.48147
"11716135_a_at",8.283584,8.01099,8.420668,8.597553,8.583115,8.746902
"11716136_s_at",10.78135,10.63345,10.15694,10.27124,10.63851,10.6231
"11716137_a_at",10.90903,10.7549,10.81121,10.73422,11.21867,11.23571
"11716138_a_at",8.607319,9.024614,8.983937,8.882322,9.407111,9.67263
"11716139_s_at",11.22008,11.57192,11.97628,11.97132,12.17875,11.1358
"11716140_x_at",11.22821,11.54075,11.73545,11.9639,12.15956,11.13993
"11716141_a_at",6.418553,5.71934,5.549421,5.686821,5.941746,5.827091
"11716142_x_at",7.020235,6.528373,6.402873,6.3453,6.363079,6.449957
"11716143_a_at",10.2053,9.87756,9.758438,9.755116,9.887117,9.976549
"11716144_a_at",8.342616,7.927661,8.363549,7.972475,7.869081,8.29353
"11716145_a_at",10.60011,10.46548,10.75427,10.59194,10.51668,10.59499
"11716146_x_at",3.98407,4.141788,3.986606,4.549449,4.127208,4.088046
"11716147_s_at",8.268263,8.393664,8.129991,8.393141,8.243371,8.20466
"11716148_a_at",8.871157,8.777235,9.084967,8.45295,8.729063,8.644493
"11716149_a_at",8.163067,6.455282,7.318786,5.591282,5.18388,6.906297
"11716150_a_at",7.044926,5.566887,6.172529,4.857111,4.444631,5.928797
"11716151_a_at",8.634423,7.292212,7.978616,6.35103,5.969712,7.82303
"11716152_s_at",10.83863,10.85131,10.71606,10.76821,10.78176,10.8801
"11716153_a_at",9.218228,9.595205,9.783391,9.888432,9.673366,9.451846
"11716154_x_at",6.981754,6.858238,6.916911,7.14758,7.036654,7.098743
"11716155_s_at",9.958599,10.68782,10.28881,10.00089,10.12905,10.52956
"11716156_a_at",4.056765,4.158687,4.420168,4.390576,4.404134,4.517777
"11716157_at",7.775271,7.389503,7.473036,7.451969,7.28426,7.447678
"11716158_a_at",9.320547,9.003371,8.971068,9.166533,9.053139,9.096779
"11716159_a_at",3.871881,3.882653,4.028307,3.752438,3.812244,3.841236
"11716160_at",7.775681,6.659399,6.221832,5.938771,5.701022,5.528332
"11716161_s_at",9.117759,8.274366,7.81433,7.153326,6.98674,7.224552
"11716162_at",10.52683,9.479924,9.540261,8.591172,8.465468,8.799405
"11716163_s_at",7.694266,7.537425,7.67812,7.729497,7.5846,7.677917
"11716164_x_at",7.154202,7.115113,7.264212,7.202959,7.076937,6.940607
"11716165_a_at",11.99295,11.69104,11.7772,11.72332,11.67666,11.97275
"11716166_x_at",9.987261,10.02329,10.126,10.08142,10.33415,9.888546
"11716167_a_at",3.736644,3.591041,4.229496,3.837277,5.379497,3.727848
"11716168_s_at",9.324971,9.402118,9.277873,9.094769,9.272904,9.18605
"11716169_at",7.93199,8.754684,8.352797,8.155694,8.284398,8.039127
"11716170_at",4.852477,4.410932,4.904697,4.978819,5.634678,4.287273
"11716171_s_at",8.927221,8.662112,8.72208,9.146315,9.615321,7.875583
"11716172_at",8.495865,8.754126,8.54409,8.650272,8.657446,8.464264
"11716173_a_at",9.237838,9.120805,8.656631,8.861609,9.014725,9.114286
"11716174_s_at",12.60054,12.46578,12.42273,12.41648,12.67714,12.70956
"11716175_x_at",12.63169,12.52216,12.46269,12.41645,12.72812,12.74952
"11716176_s_at",7.500419,7.933954,7.815781,7.906038,8.064662,7.762152
"11716177_a_at",10.13907,10.35613,10.10548,10.18592,10.12582,9.793686
"11716178_s_at",10.61208,11.01055,10.57171,10.5726,10.65264,10.92258
"11716179_at",6.891231,7.283962,6.829286,6.989624,6.933632,7.23241
"11716180_at",9.291751,9.19146,9.233935,9.360273,9.332644,9.194385
"11716181_x_at",7.96427,7.645858,7.696206,7.984943,7.80133,8.070229
"11716182_s_at",10.27736,10.1282,9.765697,10.43289,10.64181,9.947433
"11716183_a_at",8.645593,8.45079,8.096274,8.863444,9.004625,8.49194
"11716184_s_at",10.11929,9.919569,9.796976,10.39409,10.38922,9.922916
"11716185_a_at",8.781136,8.459363,8.611317,8.909161,8.989592,8.780581
"11716186_s_at",12.42958,12.39884,12.22896,12.54503,12.65517,12.21014
"11716187_a_at",7.337555,7.831374,7.020823,7.140323,6.96109,6.91217
"11716188_s_at",10.8609,10.9008,11.23931,11.24762,11.42436,11.03313
"11716189_x_at",11.34195,11.38554,11.57288,11.67904,11.9018,11.54803
"11716190_a_at",7.576914,7.686131,7.728782,7.580273,7.877542,7.502905
"11716191_at",7.995186,7.903439,8.206554,8.183248,8.378218,8.181436
"11716192_a_at",7.320471,7.360397,7.708195,7.101276,7.301988,7.187915
"11716193_s_at",9.023099,9.241423,8.967355,8.96599,9.172576,8.881334
"11716194_a_at",6.634403,6.693684,7.418797,6.592251,6.60029,6.524722
"11716195_a_at",11.63188,11.8523,11.67989,11.84137,10.91173,11.46697
"11716196_x_at",12.3983,12.66213,12.26121,12.58812,11.78812,12.27186
"11716197_a_at",5.234376,5.330434,5.534226,5.665259,5.397368,5.458895
"11716198_a_at",5.100253,5.180437,5.017797,4.979768,5.078502,4.989068
"11716199_x_at",7.146135,7.179712,7.128792,6.863387,7.244465,6.618164
"11716200_s_at",10.31901,10.22797,10.15296,10.01563,10.51375,10.09166
"11716201_x_at",5.447536,6.096424,6.039214,5.913013,5.836971,6.112936
"11716202_a_at",9.009247,9.197606,9.038404,8.907801,8.460218,9.196829
"11716203_a_at",8.267498,11.34848,9.285383,8.479122,9.870073,11.28503
"11716204_a_at",7.873505,7.512412,7.89994,7.634106,7.464179,7.699107
"11716205_a_at",10.66994,11.15713,11.00806,11.08217,11.12269,11.01299
"11716206_a_at",11.68813,11.2386,10.89306,11.11244,10.94365,10.75763
"11716207_s_at",10.3855,9.951328,9.395704,9.605378,9.396159,9.153954
"11716208_s_at",9.121966,8.393869,8.070424,8.244592,8.379299,8.168481
"11716209_a_at",9.701137,9.515839,9.598668,9.449687,9.523006,9.349818
"11716210_at",10.74998,10.83019,11.78777,11.32175,11.42128,11.75932
"11716211_a_at",7.879206,7.519975,7.565052,7.506591,7.526438,7.633667
"11716212_a_at",9.190832,8.643337,9.062764,8.680788,8.546847,8.890811
"11716213_a_at",9.993549,10.02729,9.886861,9.732125,9.530863,10.02377
"11716214_a_at",6.971655,6.992981,7.669416,7.18542,7.444618,6.804656
"11716215_at",8.300303,7.855502,8.534537,8.284295,8.373295,8.071934
"11716216_at",4.277275,4.339174,4.849232,4.141325,4.496311,4.083233
"11716217_a_at",5.311676,5.592516,5.559925,5.263452,5.333273,4.822292
"11716218_s_at",7.531154,7.565967,7.689313,7.398707,7.478778,7.504886
"11716219_a_at",8.516165,8.529978,8.657542,8.651067,8.908762,8.109763
"11716220_x_at",9.404497,9.370334,9.524085,9.599492,9.633529,8.9945
"11716221_at",9.054068,9.284694,9.38018,9.218624,9.117571,9.174934
"11716222_a_at",4.287254,4.24064,4.010711,4.092143,4.182833,4.188384
"11716223_a_at",12.62157,12.29926,12.5732,12.59573,12.64183,12.54659
"11716224_a_at",8.275602,8.349987,8.136045,8.315727,8.56669,7.738191
"11716225_a_at",4.122651,3.706499,4.358467,3.31462,3.401982,3.154738
"11716226_a_at",9.777074,10.2091,10.7071,10.36951,10.61257,10.09998
"11716227_a_at",8.075244,7.976513,7.923456,7.800683,8.189933,8.29036
"11716228_x_at",7.833242,7.856318,7.76531,8.095423,8.304079,8.155708
"11716229_s_at",6.77976,7.135376,7.128652,7.499832,7.504854,7.271373
"11716230_s_at",4.341421,3.886104,3.856224,3.975288,4.257823,3.972705
"11716231_s_at",10.14282,10.12125,10.17146,9.975664,10.3158,10.3519
"11716232_at",6.705964,6.450857,6.483933,6.341538,6.274133,6.539613
"11716233_a_at",4.44158,4.595254,4.414338,4.677029,4.363113,4.367804
"11716234_s_at",7.399941,7.724077,7.434258,7.837955,7.284903,7.17421
"11716235_a_at",7.91536,8.089935,8.158815,8.089449,7.992836,7.728032
"11716236_s_at",9.15765,9.283037,9.227838,9.337151,9.303493,8.932508
"11716237_s_at",9.19245,9.085002,9.416711,9.156804,9.319017,9.564491
"11716238_at",9.471912,9.228952,9.40234,9.364323,9.418364,9.489019
"11716239_s_at",10.53518,10.45001,10.69429,10.41527,10.53837,10.58718
"11716240_at",7.843069,7.730062,7.584415,7.601191,7.523769,7.873347
"11716241_x_at",7.867493,7.752444,7.628498,7.658967,7.596427,7.850677
"11716242_a_at",7.327141,7.191088,7.312381,7.221303,7.16317,7.138171
"11716243_a_at",5.164377,5.317304,5.176211,4.76966,5.132177,5.179404
"11716244_s_at",8.52759,8.725843,8.126031,8.695962,8.54673,8.278561
"11716245_at",7.577123,7.631112,7.349912,7.440055,7.208676,7.12219
"11716246_at",5.106527,5.103591,4.654103,4.590022,4.874174,4.629221
"11716247_s_at",11.07421,11.15239,11.17207,11.22874,11.22389,10.69456
"11716248_a_at",9.098676,9.397015,9.194847,9.749336,10.13878,10.3814
"11716249_x_at",9.767847,9.988667,9.784422,10.38021,10.78352,10.97347
"11716250_a_at",9.369311,9.412595,9.539962,9.594582,9.535637,9.555559
"11716251_x_at",9.655353,9.729763,9.764021,9.711563,9.766706,9.833415
"11716252_a_at",6.453123,6.737121,6.877796,6.795151,6.784367,6.872138
"11716253_a_at",7.752494,7.724394,8.025811,7.839456,7.946877,7.637996
"11716254_s_at",9.792715,9.745207,9.986122,9.891161,9.871133,9.758422
"11716255_a_at",7.305424,7.63344,7.79146,8.44301,7.543099,8.119205
"11716256_x_at",7.074822,7.518472,7.834201,8.125475,7.216395,8.163568
"11716257_s_at",7.648215,7.832716,7.826741,7.707579,7.92876,7.500469
"11716258_at",8.028808,7.227624,7.295447,7.078955,7.637313,7.145676
"11716259_at",4.779421,4.892132,3.819596,4.08265,4.438886,3.90137
"11716260_s_at",12.07515,11.45556,11.37976,11.43631,11.74576,11.4295
"11716261_a_at",9.876578,9.334622,9.582661,9.503581,9.332558,9.323349
"11716262_a_at",8.460449,8.820587,9.221271,9.261575,8.711576,9.050961
"11716263_s_at",8.904403,9.307896,8.828308,8.91378,8.729014,9.152575
"11716264_at",6.848692,7.207155,6.745481,7.184571,6.926988,7.163816
"11716265_a_at",9.602682,9.614786,9.438469,9.679674,9.660185,9.564157
"11716266_s_at",11.13281,11.13226,11.20111,11.27965,11.15054,11.33239
"11716267_at",9.35943,9.29454,9.062644,9.122805,8.460218,8.938148
"11716268_at",9.767326,9.379852,9.226703,8.860215,8.901204,9.254065
"11716269_s_at",10.79117,10.68804,10.41956,10.29571,10.54787,10.37681
"11716270_a_at",10.7605,11.22088,11.3585,11.48915,11.42116,11.2621
"11716271_at",5.183251,5.012625,5.062387,5.710891,4.917752,5.441054
"11716272_a_at",8.670344,8.451428,8.769048,8.521637,8.402657,8.511701
"11716273_x_at",9.573357,9.520111,9.741847,9.634096,9.422256,9.629269
"11716274_a_at",7.878994,7.759819,7.852845,7.977209,8.255075,8.195847
"11716275_a_at",5.547486,5.71343,5.569293,5.885023,5.988728,5.148236
"11716276_a_at",8.046371,8.088799,7.636084,8.171645,8.495092,7.456367
"11716277_a_at",6.92505,6.701828,6.663623,6.929422,6.935909,5.979682
"11716278_s_at",7.787773,7.767463,7.858385,7.661083,8.024457,7.019461
"11716279_x_at",7.164658,6.972273,7.075243,7.064783,7.226752,6.311675
"11716280_a_at",5.409659,5.226754,5.373256,5.719523,5.593519,4.646292
"11716281_a_at",8.217828,6.433466,6.309087,7.580188,6.215956,6.277535
"11716282_s_at",6.735949,6.883229,7.335845,7.071512,7.34962,7.390487
"11716283_at",8.973186,9.030945,9.174282,9.060109,9.323104,8.810022
"11716284_s_at",10.72919,11.09801,10.74922,10.73296,10.92924,11.03603
"11716285_a_at",7.338888,7.456054,7.213354,7.783615,7.48614,7.630417
"11716286_at",10.95683,11.09111,11.21621,11.20288,11.05002,11.45371
"11716287_at",10.83607,11.22007,10.775,10.97755,10.86503,11.52391
"11716288_s_at",11.29408,10.95738,11.20655,11.27451,10.87781,11.12128
"11716289_a_at",8.144921,8.009167,8.506641,7.873014,7.996089,7.654071
"11716290_a_at",3.630206,3.398531,3.693728,3.579178,3.68445,3.528483
"11716291_s_at",10.29912,10.38661,10.43511,10.18319,10.30295,10.12419
"11716292_a_at",7.217008,7.687588,8.250851,7.684618,7.496233,7.919906
"11716293_x_at",6.557093,6.895729,7.417007,6.945705,6.813219,7.344048
"11716294_a_at",9.741813,9.960571,9.438053,9.668965,9.160941,9.023816
"11716295_at",7.405759,6.922925,7.704954,7.682262,7.347198,7.680268
"11716296_at",4.003801,3.509026,3.451272,3.362859,3.465368,3.38877
"11716297_a_at",6.124613,6.407187,6.470002,6.263557,6.031912,6.513606
"11716298_x_at",7.349646,7.443847,7.505037,7.422073,7.200705,7.82056
"11716299_a_at",5.624884,6.495343,6.560916,6.108877,6.197577,6.685802
"11716300_x_at",8.11204,8.207245,8.393742,8.099463,8.602151,8.716214
"11716301_a_at",5.574644,6.175537,5.872182,5.858078,6.285511,6.534762
"11716302_s_at",9.382157,9.246843,8.997898,8.911194,8.864007,9.019993
"11716303_s_at",8.916226,9.092618,9.352286,9.11777,9.418291,9.17734
"11716304_a_at",7.370368,6.945174,7.770094,7.08117,7.120594,7.334931
"11716305_at",8.044249,7.531873,8.26875,7.986355,7.973422,8.10847
"11716306_a_at",11.59527,11.56452,11.82309,11.9075,11.56353,11.76034
"11716307_at",7.329593,7.31987,7.257652,7.403451,7.285363,7.461691
"11716308_s_at",12.26413,12.16171,12.13471,12.22456,12.14259,12.39963
"11716309_a_at",9.758609,9.830582,9.866548,9.935683,9.688325,10.1035
"11716310_a_at",8.485393,9.080277,8.731272,9.28675,9.042891,9.677686
"11716311_x_at",9.945009,10.31161,10.17484,10.42018,10.49325,10.15835
"11716312_at",7.188892,7.34578,7.088871,7.346482,7.531481,7.817528
"11716313_x_at",10.30635,10.17258,10.08777,10.15135,9.930753,9.992134
"11716314_at",4.198423,4.140841,4.147025,4.109531,4.337337,4.511463
"11716315_at",10.6141,10.21261,10.35148,10.40123,10.18828,10.23314
"11716316_x_at",5.863595,6.200336,5.696525,6.270778,5.720699,5.983853
"11716317_at",7.67871,8.170508,7.950615,7.862123,8.158847,7.573464
"11716318_x_at",8.451576,8.661394,8.792958,8.73596,8.298841,8.702334
"11716319_at",10.56937,10.62219,10.53516,10.37006,10.24545,10.37622
"11716320_x_at",13.59281,13.58471,13.59358,13.56981,13.47407,13.32961
"11716321_a_at",9.528806,9.647454,9.648641,9.733772,9.517812,9.739768
"11716322_s_at",10.27168,10.48179,10.73568,10.52145,10.77364,9.956346
"11716323_at",9.807568,10.24432,9.599251,9.846921,9.871799,9.979786
"11716324_a_at",9.170993,9.550409,9.35866,9.312073,9.305434,9.405619
"11716325_a_at",6.849603,7.10156,6.598454,6.845936,6.752002,6.816023
"11716326_a_at",4.531908,4.546211,4.75091,4.366081,4.276014,4.445233
"11716327_x_at",3.10832,3.186067,3.05348,3.25469,3.129976,3.040512
"11716328_a_at",5.463732,4.893309,4.815856,5.171181,5.227576,5.187228
"11716329_s_at",12.49016,11.5699,11.81181,11.99292,11.69736,11.88416
"11716330_a_at",6.850795,6.385556,5.657433,6.134182,6.264653,5.562425
"11716331_a_at",10.26181,9.588137,9.601924,9.233861,9.486505,9.318862
"11716332_a_at",8.026066,8.025444,8.383238,7.877425,8.063671,8.147009
"11716333_x_at",13.44483,13.37034,13.36241,13.34987,13.33411,13.32673
"11716334_a_at",10.85841,10.66571,10.91454,10.97256,10.85049,10.72743
"11716335_x_at",10.53431,10.37033,10.40297,10.65546,10.5823,10.4394
"11716336_a_at",7.554949,7.377235,7.918403,7.56634,7.344224,7.552081
"11716337_s_at",11.36678,11.11441,11.22978,10.21467,10.74133,10.37795
"11716338_a_at",9.593738,9.555224,9.525088,8.617479,9.133426,8.831693
"11716339_a_at",8.835285,8.917748,8.841345,7.875254,8.266023,8.173397
"11716340_a_at",11.08846,11.03092,11.16356,11.23664,11.20997,11.07275
"11716341_s_at",4.246334,4.305355,4.265672,4.399422,4.404019,4.380403
"11716342_s_at",10.67126,11.25217,10.92677,11.10912,10.88694,11.3139
"11716343_a_at",4.895918,4.907705,5.347227,5.635804,5.219892,6.117631
"11716344_a_at",7.051588,7.109908,7.089628,6.818135,6.872128,6.758963
"11716345_a_at",6.948822,5.201975,4.57081,4.857859,4.622425,4.651782
"11716346_at",6.205131,6.548415,6.648782,6.338578,6.301782,6.406967
"11716347_a_at",6.283074,6.367371,6.750616,6.279002,6.052689,6.355649
"11716348_s_at",6.955822,7.016145,7.237501,6.840392,7.041691,7.002634
"11716349_a_at",7.215919,7.097957,7.600142,7.199553,7.551725,7.263148
"11716350_a_at",7.049179,7.078948,7.110011,7.078253,7.065244,6.890051
"11716351_s_at",10.51425,10.41204,10.14126,10.384,10.30642,10.27356
"11716352_a_at",9.091562,8.719307,9.181718,9.001232,9.364664,9.088091
"11716353_x_at",7.482357,7.138148,7.230735,7.341012,7.303893,7.50365
"11716354_a_at",12.08209,11.8377,11.8697,11.93608,11.73244,11.91017
"11716355_s_at",11.58442,11.29316,11.37444,11.58036,11.24342,11.58913
"11716356_at",10.36246,10.55424,10.46593,10.24464,10.37596,10.51335
"11716357_a_at",4.859101,4.920829,4.887598,4.922945,5.024834,5.130692
"11716358_s_at",9.370943,9.987978,10.01612,10.55092,11.26007,8.059031
"11716359_a_at",8.288193,8.167795,7.847238,8.038535,8.198807,7.930061
"11716360_a_at",11.92255,12.13678,11.79066,11.55195,11.65915,11.79912
"11716361_a_at",8.177915,8.082308,8.406969,8.250494,8.533064,8.209627
"11716362_a_at",3.301175,3.266683,3.267874,3.319303,3.449623,3.524198
"11716363_x_at",3.841117,3.537814,3.905491,3.907906,3.97968,4.057552
"11716364_s_at",10.87632,10.89697,10.30986,10.26549,10.21749,9.266527
"11716365_x_at",11.71716,11.74317,11.13246,11.04866,11.04031,10.20255
"11716366_s_at",3.251679,3.084295,3.162785,3.182696,3.205445,3.386306
"11716367_s_at",10.83507,10.96415,11.14223,11.18867,10.9669,11.09336
"11716368_x_at",11.65066,11.79464,11.90965,12.12867,11.85815,11.90395
"11716369_x_at",12.46492,12.5438,12.55151,12.65853,12.64921,12.41198
"11716370_x_at",8.4216,8.002102,8.188831,7.910271,8.24922,8.195835
"11716371_a_at",6.94306,6.967057,6.923299,6.925309,6.659046,6.496764
"11716372_at",8.698116,8.431734,8.585994,8.241493,8.093101,8.317905
"11716373_a_at",6.987722,6.919315,7.128792,7.325178,6.998492,7.305511
"11716374_s_at",9.326183,9.527319,9.835235,9.780302,9.333838,9.732832
"11716375_s_at",4.28168,5.601286,5.06616,5.77429,4.597264,4.448609
"11716376_at",3.657735,3.599612,3.813312,3.865577,3.56802,4.105722
"11716377_s_at",10.46755,10.38334,10.04393,9.54772,9.429718,10.33805
"11716378_a_at",4.297503,4.582823,4.133204,4.063357,4.169828,4.620167
"11716379_s_at",11.0422,11.02325,10.90014,10.92192,11.12704,11.05016
"11716380_a_at",9.602069,9.430573,9.490216,9.638852,10.13145,10.73705
"11716381_x_at",9.519983,9.387002,9.443432,9.680126,10.11053,10.77582
"11716382_a_at",10.60428,10.71104,10.83528,11.05987,10.70332,10.61156
"11716383_x_at",10.42792,10.46111,10.49767,10.68604,10.48891,10.36908
"11716384_at",7.654269,8.51564,8.48736,8.75135,9.43146,10.40419
"11716385_at",6.406447,6.488895,6.993366,6.858534,6.829236,6.260942
"11716386_a_at",8.684661,8.518238,8.639588,8.614981,8.41798,8.741045
"11716387_s_at",8.81044,8.041865,8.290282,8.10925,8.133847,7.589691
"11716388_a_at",8.978911,8.279494,8.265663,8.409325,8.472099,7.984058
"11716389_a_at",9.837313,9.080644,9.093636,9.243164,9.305344,8.681948
"11716390_a_at",10.1368,9.546673,9.919358,9.446114,9.742186,9.601109
"11716391_a_at",8.56988,8.229326,8.629086,8.524897,8.474315,8.143965
"11716392_s_at",10.37718,9.836184,10.71326,10.21716,10.0617,10.45027
"11716393_x_at",10.35532,9.910641,10.74628,10.26739,10.142,10.42309
"11716394_x_at",10.93019,10.89619,11.28503,11.19588,11.01822,11.06209
"11716395_a_at",5.979891,7.251353,7.986592,8.427625,4.69964,6.347563
"11716396_a_at",5.615736,5.499106,5.78194,5.74983,5.008216,5.092472
"11716397_a_at",9.626784,9.665465,9.609165,9.731339,9.714791,9.563944
"11716398_a_at",8.870066,8.854877,8.868462,8.797657,8.890495,8.365763
"11716399_at",7.214699,7.457227,7.631631,7.612446,7.682078,8.560289
"11716400_at",5.225312,5.141009,5.040662,5.303833,5.215234,5.135179
"11716401_a_at",6.051906,6.297453,6.70954,7.134534,6.496771,6.161272
"11716402_at",6.338321,5.59469,6.007414,6.101525,5.964631,5.74983
"11716403_at",5.738568,4.588956,4.581842,4.796325,4.924214,4.576711
"11716404_s_at",8.447345,7.624699,8.11092,7.70758,7.836658,7.873272
"11716405_a_at",13.36475,12.26042,12.19111,11.2369,11.99746,11.34789
"11716406_x_at",6.380221,6.009559,6.61002,6.609085,6.346179,6.49657
"11716407_a_at",5.606957,4.901296,5.203899,5.334028,4.828865,4.878215
"11716408_a_at",10.53459,8.667025,8.971889,8.516278,10.11864,8.446129
"11716409_at",4.067747,5.687125,6.750626,6.667418,6.704986,5.12096
"11716410_at",3.830893,4.093798,4.69397,4.705595,4.19503,4.069434
"11716411_x_at",12.24653,12.19962,12.22156,5.265852,12.07167,11.95151
"11716412_s_at",10.23978,9.726155,10.30453,10.17221,10.17886,10.07738
"11716413_x_at",8.225039,8.516379,8.146859,8.38422,8.786179,7.935061
"11716414_a_at",10.42818,9.983038,10.70794,10.29776,10.41309,10.38597
"11716415_s_at",11.71147,11.21732,11.54366,11.68249,11.47349,11.57053
"11716416_at",5.440638,5.379726,5.458145,5.754766,5.798038,5.780071
"11716417_a_at",7.041492,7.944266,6.957314,6.959474,7.351288,7.297785
"11716418_a_at",7.314843,8.283264,8.179152,9.064174,8.376787,8.707073
"11716419_at",3.40085,3.682858,3.725723,3.63937,3.882391,3.773386
"11716420_s_at",11.13059,12.1608,12.38174,12.68618,12.29264,12.19025
"11716421_at",6.49896,7.655844,7.799192,8.50748,7.679844,7.685475
"11716422_x_at",6.553276,7.685717,7.386881,8.377865,7.705487,7.752176
"11716423_a_at",4.598923,4.954563,4.688391,5.483029,4.69964,5.167634
"11716424_a_at",11.90668,11.86905,11.84714,11.35611,11.35311,11.627
"11716425_s_at",7.020429,7.009054,7.130001,6.634622,6.807232,7.128128
"11716426_x_at",11.33077,11.24823,11.25978,10.83688,10.8666,11.00411
"11716427_a_at",4.193592,4.034157,4.303342,4.332633,3.998747,4.156045
"11716428_a_at",7.647918,7.556114,8.080406,7.864631,7.888821,7.592107
"11716429_a_at",8.389348,8.225988,8.560684,8.41008,8.301843,8.528522
"11716430_a_at",9.254142,8.742537,8.983418,8.896179,8.793127,9.129472
"11716431_x_at",9.620405,9.10598,9.356567,9.396631,9.297907,9.522373
"11716432_a_at",7.944295,8.315527,8.248274,8.647232,8.375306,7.967289
"11716433_s_at",7.787226,8.329487,7.330983,7.374043,6.417668,8.17314
"11716434_at",3.503162,3.666958,3.472723,3.637864,3.255546,3.65783
"11716435_a_at",8.191195,8.078693,7.942157,7.559327,8.130133,7.944373
"11716436_s_at",9.090834,9.628048,9.47727,9.443604,10.03952,8.881335
"11716437_a_at",7.875682,8.294703,8.304855,8.16945,8.564612,7.530515
"11716438_at",8.139919,8.669401,8.68124,8.631157,9.182916,7.860762
"11716439_s_at",10.43095,10.39876,10.6035,10.54254,10.41427,10.60498
"11716440_s_at",10.50534,10.65307,10.4913,10.46601,10.6061,10.53562
"11716441_at",9.502684,9.612016,9.497646,9.424738,9.716911,9.502398
"11716442_a_at",12.25695,12.10715,12.6079,12.69234,12.34578,12.70069
"11716443_at",10.05799,10.13981,9.872879,10.22728,9.995661,10.30726
"11716444_a_at",8.784058,8.865125,8.692827,8.804682,8.708616,8.63868
"11716445_s_at",9.349049,9.294929,9.02636,9.440435,9.309361,9.206862
"11716446_at",6.948242,7.244718,7.486058,7.043605,6.983195,7.458343
"11716447_s_at",7.076334,7.192084,7.49766,7.371848,6.984152,7.384105
"11716448_a_at",9.671299,9.657618,9.579896,9.395559,9.527164,9.963497
"11716449_a_at",9.409712,8.661822,8.914143,8.734482,8.534118,8.473152
"11716450_s_at",10.41391,10.6458,10.67642,10.55192,10.35493,10.4495
"11716451_s_at",7.772459,8.122294,7.723913,7.923584,7.987004,7.922469
"11716452_a_at",9.342912,9.077081,9.555683,9.684704,9.576648,9.125683
"11716453_s_at",10.4785,10.16022,10.9404,10.92025,10.82982,10.47508
"11716454_x_at",8.80906,8.483685,9.279727,9.251428,9.103266,8.797712
"11716455_at",11.27723,10.92609,11.00887,10.98295,10.31701,11.3433
"11716456_at",10.479,10.00076,10.11543,10.14086,9.323911,10.58356
"11716457_x_at",10.50874,10.05982,10.24786,10.18769,9.338852,10.63634
"11716458_a_at",8.881029,8.884872,8.701356,8.7814,8.84584,8.646525
